City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,9.91,81,75,6.17,SJ,1724548471
1,port mathurin,-19.6833,63.4167,21.68,73,100,10.93,MU,1724548472
2,waitangi,-43.9535,-176.5597,12.68,97,100,2.68,NZ,1724548465
3,west island,-12.1568,96.8225,25.99,94,75,6.69,CC,1724548474
4,port-aux-francais,-49.35,70.2167,2.67,93,100,16.8,TF,1724548475
5,argo,37.6333,22.7333,26.96,44,11,1.94,GR,1724548476
6,papatowai,-46.5619,169.4708,7.88,77,100,1.49,NZ,1724548477
7,arraial do cabo,-22.9661,-42.0278,22.3,91,100,8.18,BR,1724548479
8,tolanaro,-25.0319,46.9987,18.71,62,100,6.11,MG,1724548480
9,avarua,-21.2078,-159.775,21.83,75,100,13.65,CK,1724548481
10,alesund,62.4723,6.1549,14.31,88,100,1.03,NO,1724548482
11,thompson,55.7435,-97.8558,20.68,62,86,2.79,CA,1724548483
12,bethel,41.3712,-73.414,21.4,82,20,2.06,US,1724548254
13,udachny,66.4167,112.4,10.83,93,100,9.06,RU,1724548486
14,pangody,65.85,74.4859,10.39,85,2,3.12,RU,1724548487
15,blackmans bay,-43.0167,147.3167,15.41,72,100,2.24,AU,1724548488
16,san rafael,-34.6177,-68.3301,8.08,41,7,3.09,AR,1724548328
17,kursunlu,40.841,33.2603,14.23,91,3,1.82,TR,1724548490
18,albany,42.6001,-73.9662,20.51,82,4,1.23,US,1724548470
19,najaf,31.9985,44.3398,37.1,11,0,1.86,IQ,1724548492
20,baruun-urt,46.6806,113.2792,17.77,53,100,4.16,MN,1724548493
21,peniche,39.3558,-9.3811,15.87,80,0,9.87,PT,1724548495
22,aurad,18.25,77.4333,21.5,95,100,6.75,IN,1724548496
23,arawa,-6.2132,155.5367,28.91,81,100,2.78,PG,1724548497
24,mili,6.0815,171.735,28.51,73,43,2.59,MH,1724548498
25,san patricio,28.017,-97.5169,30.97,55,12,5.5,US,1724548499
26,krasnokamensk,50.0979,118.0369,19.94,51,1,5.4,RU,1724548500
27,orapa,-21.2833,25.3667,14.68,49,0,4.11,BW,1724548501
28,bac lieu,9.285,105.7244,28.38,76,13,4.42,VN,1724548503
29,newberry,34.2746,-81.6187,20.09,63,0,2.72,US,1724548504
30,edinburgh of the seven seas,-37.0676,-12.3116,14.28,89,100,18.87,SH,1724548507
31,stanley,54.868,-1.6985,10.71,81,0,6.17,GB,1724548510
32,olonkinbyen,70.9221,-8.7187,5.44,92,100,4.25,SJ,1724548511
33,puerto princesa,9.7392,118.7353,27.99,78,75,3.09,PH,1724548512
34,manadhoo,5.7667,73.3833,27.76,75,100,4.65,MV,1724548513
35,kapuskasing,49.4169,-82.4331,20.0,88,100,0.51,CA,1724548514
36,cherepovets,59.1333,37.9,14.56,93,99,2.89,RU,1724548515
37,ta`u,-14.2336,-169.5144,25.89,78,100,9.31,AS,1724548516
38,geraldton,-28.7667,114.6,14.23,88,94,4.63,AU,1724548517
39,yellowknife,62.456,-114.3525,16.9,63,75,2.57,CA,1724548519
40,krishnanagar,23.4,88.5,25.65,90,100,0.87,IN,1724548341
41,puerto natales,-51.7236,-72.4875,1.06,96,100,1.13,CL,1724548461
42,puerto baquerizo moreno,-0.9,-89.6,19.39,83,51,5.67,EC,1724548523
43,carnarvon,-24.8667,113.6333,18.63,63,2,6.87,AU,1724548272
44,beterou,9.1992,2.2586,21.98,98,87,0.98,BJ,1724548273
45,totness,5.8833,-56.3167,27.46,82,53,4.75,SR,1724548529
46,muroto-misakicho,33.2833,134.15,28.82,71,12,0.86,JP,1724548530
47,san antonio de pale,-1.4014,5.6325,23.63,82,100,4.54,GQ,1724548531
48,margaret river,-33.95,115.0667,14.65,75,100,7.11,AU,1724548532
49,pisco,-13.7,-76.2167,17.03,77,0,3.09,PE,1724548533
50,georgetown,5.4112,100.3354,26.96,78,40,1.03,MY,1724548534
51,manismata,-2.4667,111.0333,26.89,75,29,2.09,ID,1724548536
52,tazovsky,67.4667,78.7,9.25,82,65,1.54,RU,1724548537
53,grytviken,-54.2811,-36.5092,-3.84,78,14,5.08,GS,1724548464
54,puerto cabezas,14.0351,-83.3888,26.1,85,100,2.74,NI,1724548539
55,quepos,9.4236,-84.1652,26.22,88,100,1.14,CR,1724548540
56,qaqortoq,60.7167,-46.0333,5.75,89,100,1.59,GL,1724548541
57,novodvinsk,64.4165,40.8122,15.86,97,13,3.85,RU,1724548542
58,shushtar,32.0455,48.8567,35.75,42,100,2.05,IR,1724548544
59,hithadhoo,-0.6,73.0833,28.11,72,100,2.73,MV,1724548545
60,port elizabeth,-33.918,25.5701,15.17,89,0,6.17,ZA,1724548524
61,maintirano,-18.0667,44.0167,21.14,80,6,2.98,MG,1724548547
62,sohar,24.3643,56.7468,31.01,79,57,1.54,OM,1724548548
63,taoudenni,22.6783,-3.9836,36.03,30,8,3.72,ML,1724548549
64,calvinia,-31.4707,19.776,5.25,96,100,0.94,ZA,1724548550
65,adamstown,-25.066,-130.1015,19.68,69,100,4.67,PN,1724548551
66,gladstone,-23.85,151.25,26.55,68,40,2.57,AU,1724548552
67,kodiak,57.79,-152.4072,13.73,51,100,5.14,US,1724548472
68,new norfolk,-42.7826,147.0587,16.07,74,100,1.55,AU,1724548555
69,bilibino,68.0546,166.4372,9.73,58,63,2.59,RU,1724548556
70,tselina,46.5338,41.0328,19.51,40,48,3.91,RU,1724548557
71,shangrao,28.4532,117.9686,30.75,67,4,1.26,CN,1724548558
72,yanchep,-31.55,115.6833,16.17,65,99,4.1,AU,1724548559
73,sos'va,59.1766,61.8558,7.34,93,8,1.97,RU,1724548561
74,oranjemund,-28.55,16.4333,11.96,95,88,2.93,NA,1724548562
75,fort bragg,35.139,-79.006,23.05,77,0,0.0,US,1724548563
76,pop,40.8736,71.1089,20.97,29,0,1.31,UZ,1724548564
77,hermanus,-34.4187,19.2345,11.6,78,100,3.78,ZA,1724548524
78,tiksi,71.6872,128.8694,6.17,97,100,2.08,RU,1724548567
79,dali,25.7,100.1833,19.03,85,10,0.6,CN,1724548568
80,anadyr,64.75,177.4833,9.28,66,0,8.0,RU,1724548570
81,badger,64.8,-147.5333,13.41,60,20,2.57,US,1724548571
82,cabo san lucas,22.8909,-109.9124,32.17,62,40,8.75,MX,1724548521
83,zmiyevka,52.6697,36.3739,17.1,61,100,2.35,RU,1724548573
84,vernon,50.2581,-119.2691,14.13,83,100,1.79,CA,1724548300
85,la'ie,21.6477,-157.9253,27.84,78,23,4.47,US,1724548575
86,tamiahua,21.2667,-97.45,27.24,76,94,2.7,MX,1724548576
87,kabalo,-6.05,26.9167,23.97,37,2,1.76,CD,1724548577
88,vilyuchinsk,52.9306,158.4028,16.15,91,100,2.1,RU,1724548579
89,port alfred,-33.5906,26.891,13.99,91,11,4.87,ZA,1724548580
90,coahuayana de hidalgo,18.7,-103.6583,26.83,88,100,1.2,MX,1724548581
91,sandnessjoen,66.0217,12.6316,13.15,70,100,6.45,NO,1724548582
92,sitia,35.2,26.0986,26.22,73,0,8.44,GR,1724548583
93,noumea,-22.2763,166.4572,25.0,99,11,4.08,NC,1724548585
94,garachico,28.7781,-17.7646,22.06,78,20,6.69,ES,1724548586
95,akureyri,65.6835,-18.0878,5.96,81,100,3.09,IS,1724548588
